SystemsBiologyToIdentifyBiomar_DataDictionary_2022-05-26,,,,,,,,,,,,,,,,,
Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
studyid,paternal_consent,,text,Study ID,,,,,,,,,,,,,
sennum,paternal_consent,,text,Unique Identifier,,,,,,,,,,,,,
fathercontact,paternal_consent,,radio,Father of potential participant contacted,"1, Yes | 0, No",,,,,,,,,,,,
patconsent_status,paternal_consent,FORM STATUS,radio,Form complete?,"0, Incomplete | 1, Unverified | 2, Complete",,,,,,,,,,,,
sensitization_number,maternal_preinfant_enrolment_visit_mat_form,,text,Sensitization Number,,,,,,,,y,,,,,
anc_number_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,ANC Number or Name,,Please identify Antenatal Clinic,,,,,,y,,,,,
cohort_define,maternal_preinfant_enrolment_visit_mat_form,,radio,Cohort Assignment,"1, Ontogeny | 2, Validation",,,,,,,y,,,,,
q1_dov_maternalv1,maternal_preinfant_enrolment_visit_mat_form,CONFIRMATION OF INFORMED CONSENT,text,1. Date of visit,,Date (DD/MM/YYYY),date_dmy,,,y,,y,,,,,
q2_inconobtain_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,2. Has informed consent been obtained prior to subject's participation in the study?,"1, Yes | 0, No",,,,,,,y,,,,,
q3_doc_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,3. Date of consent,,Date (DD/MM/YYYY),date_dmy,,,y,,y,,,,,
q4_maternalage,maternal_preinfant_enrolment_visit_mat_form,,text,4. Age of mother,,in years,integer,18,100,,,,,,,,
q5_informmp_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,5. Did informed consent process require an impartial witness?,"1, Yes | 0, No",,,,,,,,,,,,
q6_conlanguage_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,6. Language of consent,"1, Tok pisin | 2, English | 3, Other",,,,,,,,,,,,
q6_otherlang_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,"If other language, specify",,,,,,,[q6_conlanguage_maternalv1] = '3',,,,,,
q7_notes,maternal_preinfant_enrolment_visit_mat_form,,notes,"7. Notes regarding consent process, if applicable",,,,,,,,,,,,,
q8_respreinfant_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,checkbox,8. Person signing consent's relationship to infant,"1, Mother | 2, Father",,,,,,,,,,,,
q9_ethnicity_maternalv1,maternal_preinfant_enrolment_visit_mat_form,DEMOGRAPHIC INFORMATION,radio,9. Ethnicity,"1, Eastern Highland | 2, Other",,,,,,,,,,,,
q10_otherspecify_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,"10. Other, specify",,,,,,,[q9_ethnicity_maternalv1] = '2',,,,,,
optional_mat_collected,maternal_preinfant_enrolment_visit_mat_form,MATERNAL VITAL SIGNS (Validation Cohort: Please collect questions 11-20 if maternal sample collected),radio,Was maternal sample collected?,"1, Yes | 0, No",,,,,,[cohort_define] = '2',,,,,,
q11_weight_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,11. Weight (kilograms),,,number_1dp,35,200.9,,[optional_mat_collected] = '1',,,,,,
q12_height_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,12. Height (cm),,,number_1dp,130,215.9,,[optional_mat_collected] = '1',,,,,,
q13_temp_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,13. Temperature (degrees Celsius),,,number_1dp,36,38.9,,[optional_mat_collected] = '1',,,,,,
q14_resprate_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,14. Respiratory rate (cycles/min),,,integer,12,35,,[optional_mat_collected] = '1',,,,,,
q15_heartrate_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,15. Heart rate (beats/min),,,integer,60,120,,[optional_mat_collected] = '1',,,,,,
q16_sysbp_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,16. Systolic blood pressure (mmHg),,,integer,80,140,,[optional_mat_collected] = '1',,,,,,
q17_diabp_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,17. Diastolic blood pressure (mmHg),,,integer,50,100,,[optional_mat_collected] = '1',,,,,,
q18_comments_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,notes,18. Comments,,,,,,,[optional_mat_collected] = '1',,,,,,
q19_nursename_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,19. Nurse or physician's name,,,,,,,[optional_mat_collected] = '1',,,,,,
q20_medichist_maternalv1,maternal_preinfant_enrolment_visit_mat_form,PHYSICAL EVALUATION,notes,20. Maternal medical history,,,,,,y,[optional_mat_collected] = '1',,,,,,
q21_dose1date_maternalv1,maternal_preinfant_enrolment_visit_mat_form,MATERNAL TETANUS VACCINATION,text,21. Dose 1,,Date (DD/MM/YYYY),date_dmy,,,y,,,,,,,
q22_dose2date_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,22. Dose 2,,Date (DD/MM/YYYY),date_dmy,,,y,,,,,,,
q23_dose3date_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,23. Dose 3,,Date (DD/MM/YYYY),date_dmy,,,y,[q22_dose2date_maternalv1] > '',,,,,,
q24_dose4date_maternalv2,maternal_preinfant_enrolment_visit_mat_form,,text,24. Dose 4,,Date (DD/MM/YYYY),date_dmy,,,y,[q23_dose3date_maternalv1] > '',,,,,,
q24_dose5date_maternalv3,maternal_preinfant_enrolment_visit_mat_form,,text,25. Dose 5,,Date (DD/MM/YYYY),date_dmy,,,y,[q24_dose4date_maternalv2] > '',,,,,,
q26_notestetanus_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,notes,26. Notes for tetanus vaccines,,,,,,,,,,,,,
q27_hasanymedication,maternal_preinfant_enrolment_visit_mat_form,MATERNAL MEDICATION IN THE PAST 4 WEEKS,radio,27. Has any medication been given to the mother,"1, Yes | 0, No",,,,,,,,,,,,
q28_prevmed1_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,28. Medication 1,,Generic preferred but brand name for combination product,,,,,[q27_hasanymedication] = '1',,,,,,
q29_sdated1_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,29. Start date of administration of Medication 1,,Date (DD/MM/YYYY),date_dmy,,,y,[q27_hasanymedication] = '1',,,,,,
q30_ongomed1_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,30. Specify if on-going with Medication 1 intake,"1, Yes | 0, No",,,,,,[q27_hasanymedication] = '1',,,,,,
