pathway_id,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
mod16,mod16,1.0713391489782941e-7,7.499374042848059e-6,0.7049757151672383,0.5241639186947544,2.224312344134848,84,IFITM3;TNNT1;MAPK7;IRF7;CHST7;BATF3;MRAS;CASP5;CXCL16;LILRB1;HMOX1;OASL;PRELID1;SLC2A6;CEACAM3;TNFRSF1B;CSRP1;CALHM2;RRAS;E2F2;SCARB1;RGS12;LILRA5;CCDC12;TPPP3;CEBPB;MS4A7;CD63;PLAGL2;MVP;TCN2;PILRA;ACOT9;ABI3;SLC27A3;ITPK1;VAMP5;HLA-DPB1;PLEKHO2;RHOC;VASP;TNFRSF8;SLAMF8
R-HSA-909733,Interferon alpha/beta signaling,4.854164808483284e-7,1.6989576829691494e-5,0.6594443980379349,0.5749575673423496,2.286767073395782,61,IFIT1;MX1;IFI6;SOCS3;OAS3;IFITM3;IFIT3;STAT2;IRF7;IRF9;OASL;GBP2;XAF1;HLA-C;IFIT2;SAMHD1;RSAD2;ISG15;HLA-B;TYK2;IRF1;HLA-E;BST2;IFNAR2;STAT1;OAS1;PTPN6;HLA-F
R-HSA-913531,Interferon Signaling,3.4572663874110482e-6,8.066954903959112e-5,0.6272567397185284,0.3769893740250853,1.84495710813055,221,TUBB2A;IFIT1;MX1;SPHK1;IFI6;SOCS3;ICAM1;FCGR1A;HLA-DQA2;OAS3;IFITM3;HERC5;IFIT3;STAT2;HLA-DRB5;IRF7;IRF9;FAAP100;PML;FAAP20;OASL;HLA-DQB2;GBP2;XAF1;PTAFR;TRIM46;HLA-C;HLA-DQB1;GBP1;HLA-DRA;IFIT2;SAMHD1;SMAD7;RIGI;FANCA;FLNA;HLA-DPA1;HLA-DRB1;RSAD2;ISG15;IFNGR1;EIF4A1;HLA-B;CIITA;TUBA1A;TYK2;IRF1;HLA-E;BST2;TRIM25;TRIM62;CENPX;EIF4E;IFNAR2;STAT1;OAS1;PIN1;TRIM8;PTPN6;TRIM5
R-HSA-6798695,Neutrophil degranulation,6.0642063638631474e-5,0.0010612361136760507,0.557332238758646,0.2890633644083437,1.5206029233941702,433,NAPRT;OLFM4;CFD;FGL2;CHIT1;CD14;CAMP;DPP7;ADA2;LTF;SERPINB6;CRISP3;LRG1;AGPAT2;OLR1;CD33;MMP9;C1orf35;GRN;CEACAM1;TCIRG1;CLEC4D;PFKL;CTSH;LYZ;LILRB2;RAB4B;STING1;MAN2B1;GAA;GALNS;PTAFR;TMEM63A;GSTP1;CTSS;HLA-C;NPC2;SIGLEC9;CEACAM3;ATAD3B;GLA;VAMP8;P2RX1;CD300A;FUCA2;ADGRE5;PSAP;RAB44;PTGES2;APRT;TNFRSF1B;ITGAV;CEACAM8;ITGAX;PGLYRP1;PYCARD;CST3;TYROBP;ALDH3B1;GUSB;FCER1G;PECAM1;CHI3L1;SLPI;CXCL1;OSCAR;SIRPB1;ARSA;HEBP2;HLA-B;ORM2;GLB1;QSOX1;BPI;LAIR1;CTSA;RAB24;SERPINB10;IQGAP2;MNDA;CD63;CEP290;CXCR2;RAB3D;STK11IP;BST2;SLC11A1;SIRPA;PRDX4;ITGAM;PDXK;TBC1D10C;NBEAL2;MVP;DSN1;PSMC3;CYBB;COTL1;DYNLT1;SERPINB1;SURF4;PTPN6;TMC6;CTSD;CD58;CD93;FCN1;HSPA6;TOM1;ARHGAP45;ITGAL;PLEKHO2;PGRMC1;COMMD3;ARHGAP9;HEXB;CFP;KCNAB2;GLIPR1;SRP14;ATP6V0A1;PSMD13;UNC13D;SERPINA1;TCN1;CYBA
MA-DOL128,MA-DOL128,0.001282487045578831,0.017954818638103633,0.45505986738722953,0.5731977358935485,1.9127572498837953,28,ICAM1;IL1B;CEACAM3;IL13RA1;ITGAX;CST3;IL1RAP;CDKN1A;QSOX1;CXCR2;SLC11A1;SIRPA;ITGAM;RIPK2;SERPINB1;PTPN6;CTSD;CD93;HEXB;SERPINA1
R-HSA-3371453,Regulation of HSF1-mediated heat shock response,0.0016752427513244388,0.019544498765451786,0.45505986738722953,-0.4307466523534138,-1.7247351682911214,65,BAG5;RPA1;ST13;NUP88;DNAJB1;MAPK1;HSPH1;NUP155;SIRT1;NUP133;NUP205;HSPA13;NUP153;NUP160;GSK3B;ATM;BAG3;NUP50;RPA2;BAG4;NUP54;ATR;RANBP2;HSPA8;HSPA1A;SEH1L;NUP98;HSPA14;NUP93;HSPA4;NUP85;NUP58
R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,0.003683598293912369,0.0357982910023043,0.3350685587170139,-0.33793744553470395,-1.5545439173414641,148,CDCA8;CETN2;NSMCE2;NCOA2;RAD21;RPA1;CBX5;NUP88;NCOA1;HNRNPK;UHRF2;SP3;NUP155;NUP133;RORA;NUP205;CBX2;PHC1;NSMCE4A;SUZ12;NR3C1;NUP153;STAG2;NSMCE1;HDAC2;STAG1;PARP1;NUP160;SMC6;DDX17;TOP2B;NUP50;SP100;BMI1;PHC3;NUP54;RANBP2;DNMT3A;TOPORS;HDAC1;UBE2I;SUMO1;HNRNPC;EIF2AK2;SEH1L;NRIP1;CREBBP;BLM
R-HSA-9614085,FOXO-mediated transcription,0.004091233257406205,0.0357982910023043,0.40701791892395395,-0.4513079452124781,-1.7074302736814835,49,BTG1;AKT3;CDKN1B;FOXO1;RETN;RBL2;NFYB;TXN;POMC;SIRT1;CCNG2;KAT2B;NR3C1;HDAC2;BCL2L11;FBXO32;YWHAZ;SMAD4;TXNIP;NFYA;SMAD2;HDAC1;FOXO4;CITED2;CREBBP;ATXN3;SIN3A
mod01,mod01,0.009926041261191124,0.07720254314259763,0.20249877596914143,-0.4493995059480463,-1.6168473555392773,39,BACE2;GNG7;TLE1;RALGPS2;BANK1;TCL1A;FCRLA;FCHSD2;TCF3;POU2AF1;MIR600HG;STRBP;PMEPA1;STAP1;FCRL2;COBLL1;CD79B;MOB3B
R-HSA-9018519,Estrogen-dependent gene expression,0.01994134897360704,0.13958944281524927,0.142470368773132,-0.3382780710742298,-1.443916832092299,93,H2BC12;NCOA2;RAD21;EBAG9;POLR2K;NCOA1;CARM1;FOS;KAT2B;GTF2A2;KDM1A;GPAM;ATF2;AGO2;STAG2;POLR2C;ZNF217;CBFB;STAG1;POLR2I;CCNT1;POLR2D;FKBP4;YY1;MYB;MED1;MYC;FOSB;HDAC1;POU2F1;NRIP1;CREBBP;TBP;H2BC5;RUNX1;AGO3;JUND;H2AZ2;CXXC5;PTGES3;POLR2G;GTF2A1;NCOA3;BCL2;AXIN1;DDX5;SP1;EP300
