pathway_id,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
R-HSA-6798695,Neutrophil degranulation,3.1606463159211724e-51,2.2124524211448207e-49,1.865190422672418,0.6097134299430882,3.0351697395592248,433,CD177;FOLR3;GYG1;RETN;GPR84;S100A12;MMP9;HK3;MCEMP1;S100P;S100A8;VNN1;S100A9;CEACAM1;CLEC4D;FCER1G;HP;CKAP4;ANXA2;SERPINB1;MGAM;ALOX5;MMP8;PYGL;MAPK14;HSPA1A;GCA;SERPINA1;CLEC5A;PADI2;PLAC8;LCN2;FPR1;SLC2A3;ADGRG3;PPBP;GM2A;FCAR;CLEC12A;LRG1;PGM2;IDH1;ITGAM;P2RX1;FGR;CR1;CYSTM1;GNS;PRKCD;S100A11;CAP1;RNASE2;TRPM2;CD44;TLR2;SELL;SIRPA;ANPEP;SIGLEC9;PGAM1;LILRB2;CTSH;CFP;ATP11B;IMPDH1;JUP;NBEAL2;CD58;CDA;CD63;MMP25;RHOG;RAB27A;CTSZ;DNASE1L1;QSOX1;MGST1;BST1;CYFIP1;PLEKHO2;GMFG;PKM;RAB3D;PGLYRP1;HPSE;ARL8A;CD36;CAB39;CNN2;SIRPB1;CD14;CTSA;SLC11A1;BIN2;FPR2;ITGAX;PTPRJ;RAB31;DOK3;MVP;ACP3;QPCT;GSN;CD53;CD55;LTA4H;DYNLT1;IQGAP1;COTL1;ROCK1;APAF1;SDCBP;TIMP2;OSTF1;FCN1;ITGB2;ACAA1;AMPD3;PRDX6;FCGR2A;CYBB;MNDA;VCL;DSP;NCSTN;ARPC5;PTPN6;DBNL;ARG1;DERA;OSCAR;DNAJC5;MOSPD2;PLD1;NCKAP1L;ADGRE5;ACTR2;LAMTOR2;RAB24;CMTM6;SERPINB6;STING1;TOM1;ARSB;RAB10;CTSD;NFAM1;ARHGAP9;SLCO4C1;TYROBP;HSP90AA1;TSPAN14;ALDH3B1;RHOA;HEBP2;CAPN1;RAB7A;PYCARD;HSPA1B;CD33;COMMD9;TOLLIP;GRN;CD93;VAPA;AGPAT2;VAT1;KPNB1;SERPINB10;DEGS1;TRAPPC1;TCIRG1;PTPRC;LAIR1;CD59;LAMP1;FUCA2;DNAJC3;PRCP;CYBA;C5AR1;RNASET2;LGALS3;FUCA1;PSAP;ADAM8;TCN1;PGM1;DNAJC13;CXCR1;SNAP23;NDUFC2;RAB18;PTAFR;UNC13D;PSMD12;NFKB1;STOM;GPI;EPX
R-HSA-76002,"Platelet activation, signaling and aggregation",3.270755085162456e-13,8.63943846385404e-12,0.932595211336209,0.5151925072006154,2.3436532574062765,190,HGF;FCER1G;CLU;SELP;MAPK14;F5;SERPINA1;CLEC1B;GP1BA;FN1;MMRN1;PPBP;APBB1IP;GAS6;PRKCD;CAP1;FERMT3;TIMP1;STXBP2;PF4;CD63;RHOG;QSOX1;LYN;CD36;MANF;PLA2G4A;PLEK;SERPING1;ARRB2;PIK3CB;GNAQ;PROS1;ACTN1;P2RY1;CFL1;SRGN;ANXA5;RAC2;SOD1;ITGA2B;GP6;RAB27B;SYTL4;VCL;VWF;F8;PTPN6;EGF;GNG5;TUBA4A;ITGB3;TLN1;CYRIB;SYK;PHACTR2;TOR4A;GRB2;GNA15;CDC42;RHOA;HSPA5;VAV1;YWHAZ;WDR1;PTPN1;GNAI2;GP9;MAPK3;DGKD;CSK;F13A1;PDGFA;PSAP;PLCG2;APLP2
R-HSA-114608,Platelet degranulation,3.702616484508875e-13,8.63943846385404e-12,0.932595211336209,0.6339720621362837,2.6005402049693815,91,HGF;CLU;SELP;F5;SERPINA1;FN1;MMRN1;PPBP;GAS6;CAP1;FERMT3;TIMP1;STXBP2;PF4;CD63;QSOX1;CD36;MANF;PLEK;SERPING1;PROS1;ACTN1;CFL1;SRGN;ANXA5;SOD1;ITGA2B;RAB27B;SYTL4;VCL;VWF;F8;EGF;TUBA4A;ITGB3;TLN1;CYRIB;PHACTR2;TOR4A;HSPA5;WDR1;F13A1;PDGFA;PSAP;APLP2
MA-DOL30,MA-DOL30,3.6568585826745005e-11,6.399502519680375e-10,0.851339057116899,0.7573614975228095,2.6295735001018072,39,S100A8;S100A9;CLU;SERPINB1;PYGL;SERPINA1;FPR1;PPBP;APBB1IP;FGR;TIMP1;QSOX1;PKM;GSN;PTPN6;PLD1;VAV1;TOLLIP;GNAI2;VAT1;C5AR1;LGALS3;CXCR1
mod16,mod16,5.116319958728387e-10,7.162847942219742e-9,0.8012155746177786,0.6066875576140307,2.452175258275638,84,LILRA5;LILRB1;IFITM3;CEBPB;MYOF;FGR;S100A11;RRAS;LRPAP1;PCYT1A;CD63;PAQR4;CDKN1C;SUSD1;PLEKHO2;MYD88;TCN2;VASP;MVP;FBP1;USB1;GSN;CSRP1;HMOX1;ACOT9;CALHM2;HTATIP2;C1QB;LAMTOR2;C1QA;CHMP2A;SLC2A6;CTSL;CXCL16;VAMP5;PRELID1;LPCAT3;APH1B;ARPC1A;MRAS;MAPK7;TNFRSF8;TRAFD1;TMEM127;RHOC;TPPP3
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,4.524367811590463e-6,5.2784291135222065e-5,0.610526878385931,0.5218923940334907,2.0618217507023124,74,MMP9;HGF;RHOU;ALOX5;FN1;IL4R;LCN2;ANXA1;ITGAM;VIM;MAOA;BCL6;TIMP1;CD36;BATF;JAK3;ITGAX;SOCS3;CEBPD;ITGB2;POMC;HMOX1;IL6R;MCL1;OSM;HSP90B1;HSP90AA1;JAK2;IL13RA1;S1PR1;TNF;F13A1;RORA;STAT3;FSCN1
MA-DOL128,MA-DOL128,1.2505591687410164e-5,1.2505591687410165e-4,0.5933254763964051,0.6828993410759023,2.2005825556049445,28,SERPINB1;SERPINA1;ITGAM;APBB1IP;SIRPA;QSOX1;SLC11A1;ITGAX;PLA2G4A;PTPN6;IL1RAP;CTSD;CDC42;YWHAZ;IL13RA1;CD93
mod01,mod01,1.855641655888687e-5,1.6236864489026012e-4,0.5756102610711286,-0.5994306137762768,-2.1345281252700095,39,LINC00494;ABCB4;BCL7A;GNG7;E2F5;PMEPA1;BANK1;LIMS2;BLK;STRBP;BCL11A;BACE2;MOB3B;BEND5;MIR600HG;POU2AF1;CD79A;TCF4;CD22;FCRL5;SPIB;STAP1;TCL1A;FCRL2;HLA-DOB
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,1.1893494324451618e-4,9.250495585684592e-4,0.5384340963099162,0.41743157328822034,1.8067231409039304,131,S100A12;S100A8;S100A9;MAPK14;MAP2K6;IRAK3;ITGAM;MEF2A;TLR2;PELI3;TIFA;NFKBIA;MYD88;TLR4;CD36;ALPK1;CD14;RPS6KA1;BTK;NOD2;ITGB2;N4BP1;UBC;TLR6;LY96;UBB;FADD;CD180;DUSP3;RPS6KA3;TLR1;MAPK3;UBE2D1;SKP1;CASP8;PLCG2;DNM3;RIPK3;NFKB1;MAPK7;PELI2;TBK1;MAPKAPK3;MAP2K1;TNIP2
R-HSA-5663202,Diseases of signal transduction,1.854107493929044e-4,0.0012978752457503307,0.5188480777437918,0.31041091776063967,1.5230629213071065,371,HGF;HIP1;BCL2A1;KREMEN1;FN1;CEBPB;APBB1IP;RHOG;LYN;PIK3AP1;RRBP1;KSR1;BIN2;PAPSS1;HDAC4;TGFA;ARRB2;KL;PIK3CB;TPM4;AGO4;JAG1;FKBP1A;STAT5B;IQGAP1;ADAM17;ACTB;TPM3;RAC2;ITGA2B;PSMB3;VCL;VWF;ETV6;RBPJ;UBC;NCSTN;PTPN6;EGF;PTEN;ITGB3;CARS1;TLN1;UBB;SPRED2;MCL1;GRB2;TGFBR1;OS9;PSMF1;HSP90AA1;CBL;JAK2;VAV1;PIK3CD;PPP2R5A;CTBP2;PSMA4;MAPK3;FLT3;MAML3;AGTRAP;TBL1X;SKP1;ERLIN2;CSK;PDGFA;YWHAB;HRAS;NCOR2;LMNA;AP3B1;CLIP1;STAT3;STAT5A;APH1B;PSME3;PSMD4;SEL1L;TCF7L2;MRAS;PSMD12;KAT2B;HDAC7;POLR2J;BRAP;PSMD13;DCTN1;KIF5B;CALM2;TGFB1;CDK8;MAP2K1;PSMB8;PSENEN;MYH9;CTNNB1;PSMD1;MSN;FGFR1OP2;LRRFIP1;IRS2;GOLGA4;FZD5;TGFBR2;ATG7;POLR2C;CUX1;AGO1;ACTG1;CLTC;PSEN1;TFG;NRG1;CHUK;NEURL1;PSMC3;PPP2CB;MAP3K11;FGFR1;PSMB1;NOTCH1
