contrast,grp,pathway,dol,ES,NES,pval,padj
delayed,HBV,REACTOME_NEUTROPHIL_DEGRANULATION,1,-0.4939168376190768,-2.8501078577186973,3.2183672169616233e-37,6.633054834157906e-34
delayed,HBV,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1,-0.4017534911530744,-2.076075729959078,6.1525358903643516e-9,2.6695529410612484e-7
delayed,HBV,REACTOME_INTERLEUKIN_1_SIGNALING,1,-0.20606369729940344,-0.9744934581589135,0.5353535353535354,0.7009934157329328
delayed,BCG,REACTOME_NEUTROPHIL_DEGRANULATION,1,-0.5914531858666897,-3.129299006340743,1e-50,2.061e-47
delayed,BCG,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1,-0.5262173224594604,-2.530359519971052,1.6577244901821316e-16,4.019494322665145e-14
delayed,BCG,REACTOME_INTERLEUKIN_1_SIGNALING,1,-0.41344499174053323,-1.7942941332944353,1.1529919541946558e-4,0.0012639980944655243
delayed,HBV+BCG,REACTOME_NEUTROPHIL_DEGRANULATION,1,-0.3366088575465611,-1.8457860646151294,3.8984161504146823e-11,2.0076843174635613e-8
delayed,HBV+BCG,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1,-0.24307635125704466,-1.216202613947273,0.04664758678533974,0.2880827229744936
delayed,HBV+BCG,REACTOME_INTERLEUKIN_1_SIGNALING,1,0.23090549932266172,0.9060162319637354,0.6523489932885906,0.9455241097530908
delayed,HBV,REACTOME_NEUTROPHIL_DEGRANULATION,3,0.23351719461110962,1.185916673905453,0.07053941908713693,0.19726152339021602
delayed,HBV,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,3,0.2609667827716402,1.214650984761792,0.09345794392523364,0.23648474208705528
delayed,HBV,REACTOME_INTERLEUKIN_1_SIGNALING,3,0.26210168911402454,1.1126588222356808,0.24283305227655985,0.4368176246176407
delayed,BCG,REACTOME_NEUTROPHIL_DEGRANULATION,3,0.4108578413310769,2.11004009402309,8.452857087984701e-15,6.968535383334588e-12
delayed,BCG,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,3,0.40166604176068477,1.8815288908915877,1.3933065257054206e-6,8.7018325741784e-5
delayed,BCG,REACTOME_INTERLEUKIN_1_SIGNALING,3,0.43243383162665355,1.8191550620856618,8.184436915352465e-5,0.001898320292606221
delayed,HBV+BCG,REACTOME_INTERLEUKIN_1_SIGNALING,3,0.4396440310054918,1.718174359302978,3.837068344875492e-4,0.004927226080241987
delayed,HBV+BCG,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,3,0.34636060945131575,1.4797788970452435,0.004935279775532628,0.03552503642932986
delayed,HBV+BCG,REACTOME_NEUTROPHIL_DEGRANULATION,3,0.2317422475435894,1.060643798426595,0.29308452250274425,0.5492185981956974
delayed,HBV,REACTOME_NEUTROPHIL_DEGRANULATION,7,0.3351328776226018,1.8681073551812608,7.034463470892787e-11,8.284588122005733e-9
delayed,HBV,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,7,0.3455627660235424,1.7654064331473065,1.0389316852029362e-5,4.040072081515569e-4
delayed,HBV,REACTOME_INTERLEUKIN_1_SIGNALING,7,0.21246084979268604,0.9695359288926604,0.5551724137931034,0.7872104195580228
delayed,BCG,REACTOME_NEUTROPHIL_DEGRANULATION,7,-0.30501648644701346,-1.3151901196726228,0.018889343301386148,0.1209152986446429
delayed,BCG,REACTOME_INTERLEUKIN_1_SIGNALING,7,-0.3720784953588484,-1.414614242582141,0.039473684210526314,0.18485110226386062
delayed,BCG,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,7,0.23321475433476896,1.2047131588278617,0.11698041592603232,0.3348319410272631
delayed,HBV+BCG,REACTOME_NEUTROPHIL_DEGRANULATION,7,0.4265366494336839,2.3330153583443023,1.7365744471884616e-21,3.5790799356554196e-18
delayed,HBV+BCG,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,7,0.3417608813393617,1.7131292322253306,4.290708123077292e-5,0.0017686298883324598
delayed,HBV+BCG,REACTOME_INTERLEUKIN_1_SIGNALING,7,-0.19901519777314605,-0.8269396271416587,0.8003072196620584,0.9725209210146624
hbv,BCG,REACTOME_NEUTROPHIL_DEGRANULATION,1,-0.27495047049352717,-1.4800834677260182,9.156086130266748e-5,0.0024039100018445566
hbv,BCG,REACTOME_INTERLEUKIN_1_SIGNALING,1,-0.3824840851791428,-1.6899597891282827,0.0015248078512198951,0.02014505757284746
