pathway_id,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
R-HSA-6798695,Neutrophil degranulation,5.02659712180738e-10,3.5186179852651657e-8,0.8012155746177786,-0.5209774728979034,-1.6269598109465886,433,KRT1;CD177;STOM;CYSTM1;ARG1;PNP;CREG1;ATP6V1D;CAT;CTSB;MCEMP1;LGALS3;MGAM;S100A12;MMP9;PRDX6;CR1;ALAD;CD59;FTL;S100A8;CD55;S100A9;GYG1;PA2G4;MAPK1;HP;DYNLL1;ADGRG3;FCAR;ANPEP;YPEL5;GCA;PADI2;FTH1;SLC2A3;FPR2;SDCBP;SLC11A1;CLEC4D;MMP25;ORMDL3;VNN1;ACTR10;PYGL;QPCT;TMBIM1;CYB5R3;RAB6A;SLCO4C1;FPR1;CKAP4;CXCR1;S100P;LRG1;SLPI;RETN;MAPK14;AMPD3;CEACAM1;CXCR2;HK3;C5AR1;ALOX5;DDX3X;TUBB4B;FCGR2A;HSPA1A;EPX;FCER1G;GPR84;PRTN3;CLEC5A;GOLGA7;DOK3;CD58;SIRPA;SIGLEC9;ORM1;PSMD2;CAPN1;DSP;KCMF1;S100A11;ITGAX;CAB39;ITGAM;SLC15A4;CRISPLD2;C3;SERPINB1;CD93;SERPINA1;CXCL1;RAP1A;HSPA1B;IGF2R;CEACAM3;ATP6AP2;RAB27A;OSCAR;LILRB2;DNAJC3;ACP3;RNASET2;LAMTOR3;PTAFR;CDA;BST1;MPO;ADAM8;RAB5B;CD44;PGLYRP1;RAP2C;RAB10;FOLR3;SIGLEC5;IMPDH1;ADGRE5;ASAH1;LAMTOR1;SIRPB1;ELANE;ADGRE3;RAB3D;PRKCD;ARMC8;ATP11B;RAB31;QSOX1;HEBP2;PSMB7;UBR4;RAB24;TLR2;PAFAH1B2;IQGAP1;PTPRC;CMTM6;HSPA6;P2RX1;RAB5C;PTPRJ;RAB18;GMFG;CANT1;VAPA;SNAP23;CTSG;FGR;NRAS;NFAM1
R-HSA-913531,Interferon Signaling,9.62831170167109e-9,3.3699090955848817e-7,0.7477396631498854,0.36857521168887747,1.9184754701474833,219,IFIT1;HERC5;GBP5;IFIT3;MX1;OASL;GBP4;IFI6;IFIT2;GBP1;OAS3;HLA-DQA2;HLA-DRB5;XAF1;NCAM1;ISG15;CDK1;OAS1;HLA-DPA1;HLA-DRB1;OAS2;HLA-DPB1;STAT2;PML;STAT1;BST2;HLA-DRA;GBP3;IRF7;UBA7;IFI35;UBE2L6;FANCA;IRF5;NUP37;HLA-F;RIGI;IFIT5;FAAP24;CIITA;TRIM22;PSMB8;NUP93;TP53;TRIM26;IRF4;TRIM5;HLA-DQB1;TRIM14;FANCL
R-HSA-1632852,Macroautophagy,1.219200702861166e-6,2.844801640009387e-5,0.6435518361507222,-0.5964571987014483,-1.7938812481615198,122,GABARAPL2;PINK1;UBB;OPTN;MAP1LC3B;GABARAPL1;TUBB2A;ATG9A;WDR45;ATG14;LAMTOR5;DYNLL1;WIPI2;GABARAP;UBE2D3;WIPI1;MTMR3;UBA52;NBR1;RRAGB;ATG4D;BECN1;MFN2;TUBB4B;RRAGA;RB1CC1;CHMP3;ATG3;SQSTM1;CHMP4B;TUBA1A;HDAC6;ATG4A;CHMP2A;LAMTOR3;PLIN3;TUBA4A;DYNLL2;ULK1
R-HSA-909733,Interferon alpha/beta signaling,1.9955883255112974e-6,3.4922795696447704e-5,0.6272567397185284,0.5218209693890137,2.2014476062299595,60,IFIT1;IFIT3;MX1;OASL;IFI6;IFIT2;OAS3;XAF1;ISG15;OAS1;OAS2;STAT2;STAT1;BST2;IRF7;IFI35;IRF5;HLA-F;IFIT5;PSMB8;IRF4
R-HSA-2262752,Cellular responses to stress,1.3546575240280835e-5,1.896520533639317e-4,0.5933254763964051,-0.4388584185818652,-1.3761072288129534,646,BLVRB;PRDX2;ABCG2;BCL2L1;UBB;TERF2IP;DNAJA4;E2F2;TFDP1;GCLC;CDKN2D;ATP6V1D;EIF2AK1;CAT;PSMF1;PSME4;BAG1;HIGD1A;HDGF;MAP1LC3B;H2AJ;SKP1;MAP2K3;PPP2R5B;ELOB;TFDP2;NPRL3;PRDX6;GPX1;CARM1;H1-2;ST13;TUBB2A;RXRA;GCLM;DCTN4;AKT1S1;SOD1;RBX1;CDC27;LAMTOR5;MAPK1;TALDO1;DYNLL1;CASTOR2;TXN;ACTR10;H1-0;UBE2D3;ADD1;WIPI1;FLCN;UBA52;AKT2;FZR1;CCS;COX6B1;RRAGB;MAP2K7;PRDX1;ATP7A;STOML2;MAPK14;ETS2;TXNRD2;FOS;GSK3A;TUBB4B;RPL21;ATP6V1C1;RRAGA;PSMD4;PPP1R15A;TBL1XR1;TLR4;NCOA2;NUP98;CDC16;HSPA1A;NCOA1;PRDX5;COX7A2;DNAJA2;NCF4;COX7B;HSPA13;MAP4K4;H2BC5;ACTR1A;PSMD2;DNAJA1;PGD;ATP6V1E1;TXNRD1;LMNB1;CEBPB;KDM6B;WDR59;SQSTM1;PHC2;TUBA1A;CLEC1B;NUP153;UBE2D1;RPS4Y1;BACH1;HSPA1B;DNAJB6;HDAC6;DCP2;UFD1;CXCL8;PTGES3;G6PD;FKBP5;MAP2K6;DNAJC3;FNIP1;RB1;CITED2;CREB1;LAMTOR3;AGO4;LY96;NCF2;RPA1;TBL1X;PSMB6;JUN;TUBA4A;ATP6V0B;DYNLL2;PSMD9;BTRC;ASF1A;EP300;H3-3A;DNAJB1;CDC26;BAG2;TNRC6B;NBN;NDUFA4;LAMTOR1;CAPZA2
mod16,mod16,7.986556252043761e-5,9.317648960717721e-4,0.5384340963099162,0.4065385523563399,1.8442311336771458,84,OASL;C1QA;TPPP3;ABI3;IL15;C1QB;HLA-DPB1;SLAMF8;IRF7;RHOC;BATF3;PTGDR2;VAMP5;MYOF;MRAS;SLC2A6;ASPHD2;PAQR4;PSMB10;FBP1;TNNT1;CSRP1;MS4A7;SLC27A3;RRAS;TCN2;CALHM2
R-HSA-388841,Costimulation by the CD28 family,4.071578756737109e-4,0.004071578756737109,0.49849310876659025,0.4387209277143651,1.8551119391438413,59,HLA-DQA2;HLA-DRB5;HLA-DPA1;HLA-DRB1;HLA-DPB1;HLA-DRA;CD4;SRC;CD86;CD28;CD247;HLA-DQB1;THEM4;ICOS;PIK3R3;HLA-DQA1;MAP3K14;TNFRSF14;CD3E;LCK;CD3D
R-HSA-8856828,Clathrin-mediated endocytosis,6.082026935211893e-4,0.005321773568310407,0.47727081536286214,-0.5314496445240392,-1.5921526944112947,114,DNAJC6;UBB;ITSN1;SGIP1;TFRC;AP2A1;AP2M1;UBQLN1;COPS2;AP2B1;COPS3;RAB5A;UBA52;HIP1;AP2S1;TGFA;AGFG1;SH3GL1;FCHO2;GAPVD1;FNBP1L;STAM;PICALM;VAMP7;EPN2;ARRB2;EPN1;TOR1A;SNX18;IGF2R;REPS2;RAB5B;KIAA0319;COPS5;ACTR3;PACSIN2;CLTC;VAMP4
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,7.613688582265015e-4,0.0059217577862061225,0.47727081536286214,-0.5160621690529286,-1.5588323166470892,131,UBB;OPTN;SKP1;MAP2K3;BIRC2;S100A12;TANK;S100A8;TAB3;S100A9;MAPK1;UBE2D3;UBA52;ECSIT;IRAK3;TAB2;MAP2K7;MAPK14;FOS;TLR4;PTPN4;TLR6;ALPK1;TLR1;ITGAM;UBE2D1;VRK3;PELI1;MEF2A;MAP2K6;IRF3;CREB1;LY96;NFKBIA;JUN;BTRC;MAP2K4;TLR2;DNM2;NFKBIB;NKIRAS2;IKBIP
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,9.196748083397126e-4,0.006437723658377989,0.47727081536286214,-0.5592393489423554,-1.6283766662063486,79,UBB;ITSN1;SGIP1;TFRC;AP2A1;AP2M1;UBQLN1;COPS2;AP2B1;COPS3;UBA52;AP2S1;TGFA;AGFG1;SH3GL1;FCHO2;STAM;PICALM;VAMP7;EPN2;ARRB2;EPN1;TOR1A;IGF2R;REPS2;KIAA0319;COPS5;CLTC;VAMP4
