pathway_id,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
R-HSA-168256,Immune System,6.962883110032534e-19,1.3835248739634643e-15,1.1239149637448316,0.332924130215949,1.7889642280135576,1532,CCL3;CCL3L3;CCL4;IL1B;IRAK2;PI3;IL1RN;ORM1;CXCL8;NFKBIA;TNFAIP6;SLAMF7;CXCL1;GPR84;LILRB4;C3;ANPEP;CTSL;SEC24A;LILRB1;JAK3;ANXA2;ICAM1;PIK3AP1;TIMP1;SERPINA1;IL18BP;C3AR1;MYO10;CSF1R;ORM2;CD14;SERPINB2;CDKN1A;SLPI;SIGLEC10;TLR2;UBE2D1;IRAK3;TIFA;HSPA5;SEC22B;FCAR;CTSC;MYC;CD300E;UBE2E1;VAV1;HSPA1B;CSTB;CYFIP1;CYBB;AP1B1;FCER1G;TNFAIP3;BATF;TNFSF14;JUN;TOM1;BCL6;DUSP3;NFKBIE;P2RX7;PLPP5;CCR1;ALPK1;RNASE3;FCGR3A;MAP3K8;ATP6V1C1;FSCN1;TICAM1;CALR;CLEC4E;FCER2;CD177;AMPD3;CTSD;MCEMP1;LAMP1;SOCS3;NPC2;PTGS2;NFKB1;NUP62;OLR1;NFKB2;LILRA5;LRG1;GAB3;ITGAV;PRKCD;PDIA3;RANBP2;MVP;FLNA;RELB;HSP90B1;CD44;OSCAR;ATG7;HLA-DRA;CSF2RB;RNF144B;NECTIN2;GRN;P4HB;HSPA1A;LYN;IL1R1;TNFRSF14;PLAUR;SRC;HSPA6;IDH1;CTSH;IKBKE;HIF1A;GCA;TLR5;CD86;TRAF3;TANK;CANX;NIT2;SLC2A3;HPSE;VIM;CD226;IL1R2;MYO1C;DDOST;CEACAM3;VASP;SIGLEC14;MMP9;HMOX1;CD22;HACE1;PILRA;PSAP;RETN;RAC1;QPCT;RAP2C;NKIRAS1;HAVCR2;DNAJC3;JAK2;MMP8;NDUFC2;ITGB5;LCP2;PPBP;IFIH1;PTPN23;BIRC3;PGM2;AAMP;PJA2;KLRK1;FPR1;HCK;CR1;ABCE1;STAT3;POM121;OSM;QSOX1;FOS;TUBA1C;EGR1;SEC24D;TAPBP;DEGS1;FUCA1;HLA-DRB1;RELA;FPR2;FANCL;KLHL42;IL32;FTH1;RORA;PTAFR;ALDH3B1;RBCK1;UBE2E2;SNRPA1;PANX1;IRAK1;IL2RA;PTPRJ;H3C6;EIF4A3;SPHK1;UBE4A;NHLRC3;TUBB6;TARBP2;HCST;PAG1;TNFSF4;ATF2;CKAP4;CAPZA2;IL18R1;SIKE1;SEC61B;LRSAM1;CTSA;RIPK2;ITK;AP1S1;UBE2N;SLC15A4;LY96;DPP7;FAAP100;HSP90AA1;AIP;FCGR1A;FGR;UBE2Q2;ATOX1;GNS;DUSP6;ATF1;MLST8;CLU;IQGAP1;KIF3B;RAB24;NCR1;PLD2;IFNAR1;TXLNA;RCHY1;TRAPPC1;POMC;HLA-DQB1;CCR5;ANAPC2;LILRB2;UBE2S;AP1S2;MLEC;PILRB;ACTB;MIB2;TRIM21;ASB8;ADAM17;ASB1;NUP42;PKM;PIK3CB;SPSB1;N4BP1;TRIM3;CD274;ARSA;CENPX;ADGRG3;LGMN;GYG1;BTRC;ITGAX;EIF4E3;CFL1;FBXO31;OAS2;UBE2D4;ZNRF1;VEGFA;KEAP1;NKIRAS2;FBXO41;MAPK11;IL2RG;GM2A;SMAD3;CSK;CYBA;ALDOA;TNIP2;TKFC;CHI3L1;LPCAT1;BTK;RHOG;RNF19A;NUP88;PJA1;CD19;ATG5;ALDOC;POLR2H;SNAP23;SDCBP;ACTG1;FKBP1A;ANO6;IKBIP;NUP58;IFI35;STXBP2;HLA-DOA;IL21R;IRF2;NCSTN;ASAH1;RAB5C;SQSTM1;AP1G1;KLRB1;FYB1;HGF;PTPRC;JUNB;GSDMD;ELMO2;SVIP;MAN2B1;TRAT1;RNF4;FLT3;KLRC1;STAT1;TPR;ANAPC10;CD53;HSPA8;TLR4;GPI;IL18RAP;FBXW8;NRAS;ADAM10;FABP5;IL6ST;EIF2S1;SLA;NCKAP1L;PSMD11;PSMB2;LCP1;RAPGEF1;OLFM4;DCTN6;KPNA3;EIF2AK2;MRC1;IMPDH1;CAPN1;ITGB2;TLR8;CTSF;PDZD11;RAB10;FBXO44;HSPA1L;TNFSF8;PTX3
R-HSA-449147,Signaling by Interleukins,2.2475752556955207e-15,2.2329660165335e-12,1.0073179568744748,0.4650144741999406,2.2512032840659013,345,CCL3;CCL3L3;CCL4;IL1B;IRAK2;IL1RN;CXCL8;NFKBIA;CXCL1;JAK3;ANXA2;ICAM1;TIMP1;IL18BP;CSF1R;SERPINB2;CDKN1A;IRAK3;TIFA;MYC;VAV1;BATF;JUN;BCL6;DUSP3;CCR1;ALPK1;MAP3K8;FSCN1;FCER2;SOCS3;PTGS2;NFKB1;NFKB2;HSP90B1;CSF2RB;P4HB;LYN;IL1R1;HIF1A;CD86;CANX;VIM;IL1R2;MMP9;HMOX1;NKIRAS1;HAVCR2;JAK2;PTPN23;FPR1;HCK;STAT3;OSM;FOS;RELA;IL32;RORA;PTAFR;SNRPA1;IRAK1;IL2RA;H3C6;ATF2;IL18R1;RIPK2;UBE2N;HSP90AA1;AIP;DUSP6;ATF1;TXLNA;POMC;CCR5;PIK3CB;N4BP1;BTRC;ITGAX;CFL1;VEGFA;NKIRAS2;MAPK11;IL2RG;SMAD3;TNIP2;IKBIP;STXBP2;IL21R;SQSTM1;HGF;JUNB;GSDMD;STAT1;HSPA8;IL18RAP;IL6ST;PSMD11;PSMB2;LCP1;RAPGEF1
R-HSA-1280215,Cytokine Signaling in Immune system,1.8514391361487376e-13,1.2262698545091805e-10,0.9436322252328375,0.3908010404364448,1.982351263341026,583,CCL3;CCL3L3;CCL4;IL1B;IRAK2;IL1RN;CXCL8;NFKBIA;CXCL1;JAK3;ANXA2;ICAM1;TIMP1;IL18BP;CSF1R;SERPINB2;CDKN1A;UBE2D1;IRAK3;TIFA;MYC;UBE2E1;VAV1;HSPA1B;BATF;TNFSF14;JUN;BCL6;DUSP3;CCR1;ALPK1;MAP3K8;FSCN1;FCER2;SOCS3;PTGS2;NFKB1;NUP62;NFKB2;GAB3;PRKCD;RANBP2;FLNA;RELB;HSP90B1;CD44;HLA-DRA;CSF2RB;P4HB;HSPA1A;LYN;IL1R1;TNFRSF14;SRC;HIF1A;CD86;TRAF3;CANX;VIM;IL1R2;MMP9;HMOX1;NKIRAS1;HAVCR2;DNAJC3;JAK2;PTPN23;BIRC3;FPR1;HCK;ABCE1;STAT3;POM121;OSM;FOS;TUBA1C;EGR1;HLA-DRB1;RELA;FANCL;IL32;RORA;PTAFR;SNRPA1;IRAK1;IL2RA;PTPRJ;H3C6;EIF4A3;SPHK1;TUBB6;TARBP2;TNFSF4;ATF2;IL18R1;RIPK2;UBE2N;FAAP100;HSP90AA1;AIP;FCGR1A;DUSP6;ATF1;IFNAR1;TXLNA;POMC;HLA-DQB1;CCR5;TRIM21;ADAM17;NUP42;PIK3CB;N4BP1;TRIM3;CENPX;BTRC;ITGAX;EIF4E3;CFL1;OAS2;VEGFA;NKIRAS2;MAPK11;IL2RG;SMAD3;CSK;TNIP2;NUP88;IKBIP;NUP58;IFI35;STXBP2;IL21R;IRF2;SQSTM1;HGF;JUNB;GSDMD;FLT3;STAT1;TPR;HSPA8;IL18RAP;NRAS;IL6ST;EIF2S1;SLA;PSMD11;PSMB2;LCP1;RAPGEF1;KPNA3;EIF2AK2;ITGB2;HSPA1L;TNFSF8;DUS2;IKBKB;PSMD5;TRIM25;IFITM2;PSMA6;IFNGR2;GRB10;KPNA4;TNFRSF1B;RAE1;LCN2;UBC;GBP4;NFKBIB;CCL5;TRIM26;RHOU;TRAF2;IRF8;IRS1;HLA-B;BIRC5;USP14;NUP188;PSMA2;HLA-A;EDAR
R-HSA-168249,Innate Immune System,3.789492890106175e-12,1.8824305931602427e-9,0.8870749883998732,0.34375056835484147,1.786411565648187,830,IL1B;IRAK2;PI3;ORM1;NFKBIA;TNFAIP6;CXCL1;GPR84;C3;ANPEP;CTSL;ANXA2;SERPINA1;C3AR1;MYO10;ORM2;CD14;SLPI;TLR2;UBE2D1;IRAK3;TIFA;FCAR;CTSC;CD300E;VAV1;HSPA1B;CSTB;CYFIP1;CYBB;FCER1G;TNFAIP3;JUN;TOM1;DUSP3;P2RX7;PLPP5;ALPK1;RNASE3;FCGR3A;MAP3K8;ATP6V1C1;TICAM1;CLEC4E;CD177;AMPD3;CTSD;MCEMP1;LAMP1;NPC2;NFKB1;OLR1;NFKB2;LRG1;ITGAV;PRKCD;MVP;RELB;HSP90B1;CD44;OSCAR;ATG7;GRN;HSPA1A;LYN;PLAUR;SRC;HSPA6;IDH1;CTSH;IKBKE;GCA;TLR5;TRAF3;TANK;NIT2;SLC2A3;HPSE;MYO1C;DDOST;CEACAM3;SIGLEC14;MMP9;HMOX1;PSAP;RETN;RAC1;QPCT;RAP2C;NKIRAS1;DNAJC3;MMP8;NDUFC2;LCP2;PPBP;IFIH1;BIRC3;PGM2;AAMP;KLRK1;FPR1;HCK;CR1;QSOX1;FOS;DEGS1;FUCA1;RELA;FPR2;FTH1;PTAFR;ALDH3B1;PANX1;IRAK1;PTPRJ;NHLRC3;ATF2;CKAP4;CAPZA2;SIKE1;CTSA;RIPK2;ITK;UBE2N;SLC15A4;LY96;DPP7;HSP90AA1;FCGR1A;FGR;ATOX1;GNS;DUSP6;ATF1;CLU;IQGAP1;RAB24;PLD2;TRAPPC1;LILRB2;MLEC;ACTB;TRIM21;PKM;PIK3CB;N4BP1;ARSA;ADGRG3;LGMN;GYG1;BTRC;ITGAX;CFL1;NKIRAS2;MAPK11;GM2A;CYBA;ALDOA;TNIP2;TKFC;CHI3L1;LPCAT1;BTK;RHOG;CD19;ATG5;ALDOC;POLR2H;SNAP23;SDCBP;ACTG1;ANO6;IKBIP;NCSTN;ASAH1;RAB5C;PTPRC;GSDMD;ELMO2;SVIP;MAN2B1;CD53;HSPA8;TLR4;GPI;NRAS;ADAM10;FABP5;NCKAP1L;PSMD11;PSMB2;OLFM4;IMPDH1;CAPN1;ITGB2;TLR8;PDZD11;RAB10;PTX3;NCKAP1;IKBKB;TCN1;PSMD5;CD300A;TRIM25;SIGLEC5;CD63;ATP6V1F;PSMA6;CLEC4D;PPP3CA;TNFRSF1B;NEU1;PPIE;CPNE1
R-HSA-6798695,Neutrophil degranulation,7.007863834396335e-11,2.7849250877891036e-8,0.8390889356212738,0.3902326009787469,1.9289531664755357,430,ORM1;TNFAIP6;CXCL1;GPR84;C3;ANPEP;ANXA2;SERPINA1;C3AR1;ORM2;CD14;SLPI;TLR2;FCAR;CTSC;HSPA1B;CSTB;CYFIP1;CYBB;FCER1G;TOM1;RNASE3;CD177;AMPD3;CTSD;MCEMP1;LAMP1;NPC2;NFKB1;OLR1;LRG1;ITGAV;PRKCD;MVP;CD44;OSCAR;ATG7;GRN;HSPA1A;PLAUR;HSPA6;IDH1;CTSH;GCA;NIT2;SLC2A3;HPSE;DDOST;CEACAM3;SIGLEC14;MMP9;PSAP;RETN;RAC1;QPCT;RAP2C;DNAJC3;MMP8;NDUFC2;PPBP;PGM2;FPR1;CR1;QSOX1;DEGS1;FUCA1;FPR2;FTH1;PTAFR;ALDH3B1;PTPRJ;NHLRC3;CKAP4;CTSA;SLC15A4;DPP7;HSP90AA1;FGR;GNS;IQGAP1;RAB24;TRAPPC1;LILRB2;MLEC;PKM;ARSA;ADGRG3;GYG1;ITGAX;GM2A;CYBA;ALDOA;CHI3L1;LPCAT1;RHOG;ALDOC;SNAP23;SDCBP;ANO6;NCSTN;ASAH1;RAB5C;PTPRC;GSDMD;SVIP;MAN2B1;CD53;HSPA8;GPI;NRAS;ADAM10;FABP5;NCKAP1L;PSMD11;OLFM4;IMPDH1;CAPN1;ITGB2;RAB10;PTX3;TCN1;CD300A;SIGLEC5;CD63;CLEC4D;TNFRSF1B;NEU1;PPIE;CPNE1;SLC2A5;C5AR1
R-HSA-6783783,Interleukin-10 signaling,3.1482607081591473e-10,1.0425990045187043e-7,0.8140358378479079,0.8061902490173248,2.6069601275242245,30,CCL3;CCL3L3;CCL4;IL1B;IL1RN;CXCL8;CXCL1;ICAM1;TIMP1;CCR1;FCER2;PTGS2;IL1R1;CD86;IL1R2;FPR1;STAT3;PTAFR
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),1.529016104898893e-9,4.3402214291915717e-7,0.7881868108002371,0.5779484238245501,2.354332425868067,93,CCL3;CCL3L3;CXCL5;CCL4;CXCL8;CXCL1;C3;NLN;C3AR1;PTGIR;HCAR2;PTGER2;CCR1;CCRL2;HCAR3;GHRL;HRH2;PSAP;ECE1;PPBP;FFAR2;FPR1;GPR35;FPR2;P2RY11;PTAFR;LPAR5;CMKLR1;CCR7;PROK2;LPAR1;POMC;CCR5;NMUR1;CX3CR1
R-HSA-500792,GPCR ligand binding,8.33046345863999e-9,2.0690788615397075e-6,0.7477396631498854,0.5376529235892934,2.2687425157039938,114,CCL3;CCL3L3;CXCL5;CCL4;CXCL8;ADGRE1;CXCL1;C3;NLN;C3AR1;PTGIR;HCAR2;ADGRE2;PTGER2;CCR1;CCRL2;HCAR3;GHRL;HRH2;PSAP;ECE1;PPBP;FFAR2;FPR1;GPR35;FPR2;P2RY11;PTAFR;LPAR5;CMKLR1;CCR7;PROK2;LPAR1;POMC;CCR5;NMUR1;CX3CR1;GNB2
R-HSA-372790,Signaling by GPCR,3.325414610836013e-8,7.341776479701287e-6,0.7195128263389107,0.40604810844552053,1.923715915853969,278,CCL3;CCL3L3;CXCL5;CCL4L2;CCL4;CXCL8;ADGRE1;CXCL1;GPR84;C3;NLN;GNA15;C3AR1;PDE4A;MGLL;PTGIR;CDK5;HCAR2;ADGRE2;PTGER2;VAV1;CCR1;CCRL2;PRKCD;HCAR3;GHRL;HRH2;SRC;GPR27;RHOB;ABHD12;PSAP;ARHGEF40;CAMKK2;ECE1;PIK3R5;PPBP;FFAR2;FPR1;GPR35;FPR2;P2RY11;PTAFR;PIK3R6;LPAR5
R-HSA-375276,Peptide ligand-binding receptors,1.3844971435537304e-7,2.750995824241262e-5,0.6901324587967956,0.6474370022211008,2.347637350916842,50,CCL3;CCL3L3;CXCL5;CCL4;CXCL8;CXCL1;C3;NLN;C3AR1;CCR1;CCRL2;GHRL;PSAP;ECE1;PPBP;FPR1;FPR2;CCR7;PROK2;POMC;CCR5;NMUR1;CX3CR1
