pathway_id,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
R-HSA-168249,Innate Immune System,5.519081284798222e-16,1.0982971756748462e-12,1.027669870543582,0.3919492085179245,1.8082008492239061,844,PI3;SIGLEC5;FCGR3B;SLPI;FOS;HSPA6;MME;CHI3L1;ALDOA;AIM2;PADI2;FCGR3A;CXCL1;ISG15;KCMF1;QPCT;ADGRE3;CRISPLD2;HP;CD14;HERC5;PROS1;TREM1;MMP25;SYNGR1;SERPING1;IGF2R;PTPRN2;IFIH1;TXNIP;ADAM8;CEACAM3;CD177;CXCR1;HPSE;TYROBP;NEU1;ATP6V1B2;CD300LB;TMBIM1;TLR10;ASAH1;FCGR1A;HMOX1;CARD9;DEFA3;IKBIP;CPPED1;CXCR2;CD180;TBK1;TLR2;CD300A;PYCARD;FUCA2;CDC34;RAB3D;FPR1;BST2;UBE2D1;MNDA;PTAFR;DHX58;CTSD;FPR2;CLEC4E;LILRB2;RIGI;ADGRG3;IRF7;QSOX1;RELB;GOLGA7;BRI3;GAA;CREG1;GSN;RNASE6;IFI16;SLC44A2;NAPRT;HLA-C;NCKIPSD;RNASET2;PRCP;ICAM3;LY96;FCGR2A;RAF1;S100A11;UBE2M;UBC;HLA-B;ATP6V0D1;TLR4;TLR8;C1R;CPNE1;BCL10;GAB2;CREBBP;KIR2DS4;LIMK1;RAB7A;RPS6KA5;CD19;MEFV;PSTPIP1;MMP8;ARSA;PELI3;VNN1;FGL2;N4BP1;PRDX6;SIRPA;ATP6V1F;ARPC1B;LGALS3;PRKDC;PELI1;FCER1G;C5AR1;GHDC;S100A9;CD46;SDCBP;UBE2L6;HLA-E;CTSS;DYNC1LI1;UNC93B1;LAMP2;SERPINA1;PLCG2;DOK3;ACP3;AGER;GNS;BIRC3;DPP7;RASGRP4;PYGL;FGR;CDA;ANPEP;WASF1;TOLLIP;GRN;B2M;HSPA1B;RAB18;LGMN;CRCP;NLRC4;VAV3;NFKB2;LAT2;RHOG;CANT1;NCF2;SLC15A4;RAP2C;MGAM;PAK1;SLC2A3;MOSPD2;ARPC4;PRKCD;PLD3;SLC11A1;TCIRG1;TOM1;CASP8;GNLY;TNFRSF1B;PSMB9;SARM1;ZBP1;CLEC7A;GLIPR1;AGPAT2;WAS;LRG1;COMMD9;LY86;ITGB2;MAP2K4;CYBA;FTH1;ARL8A;AZU1;RAB37;WIPF1;CNPY3;MAPK3;CFD;HRAS;MYO9B;RAC1;SKP1;P2RX1;ATOX1;CST3;DTX4;S100A12;PGLYRP1;HEBP2;CLEC10A;RAB27A;SIGLEC9;CASP4;OSCAR;ELANE;POLR3G;PIK3CB;OTUD5;SIRPB1;CD93;IRAG2;RAB44;CD81;HVCN1;TLR6;CSNK2B;ADGRE5;NFAM1;PLAUR;C5AR2;TASL;PGAM1;LYN;PLD2;ADA2;IMPDH1;PAFAH1B2;ATP6V0E1;CR1;PPP3CA;ATF1;GZMM;GYG1;PECAM1;IRF5;POLR3B;NFKBIB;MAP3K8;LPCAT1;PIN1;HK3;IQGAP1;GMFG;RAC2;NFKBIA;EP300;NKIRAS2;PLEKHO2;BST1;GALNS;ATP6V1A;RPS6KA1;RAB10;C5;PLPP5;POLR3C;PLA2G6;NBEAL2;PSEN1;DNAJC3;TIMP2;MCEMP1;LAMP1;DYNLT1;TRAF2;CTSZ;UNC13D;HSPA1A;TRIM21;TRIM32;TLR7;SYK;POLR2H;PTPN6;FOLR3;DGAT1;NPC2;RAB5C;IRF3;TNFAIP6;MYD88;JUN;CRISP3;STOM;ARSB;CAP1;SELL;ELMO1;PSMF1;OPTN;CLEC4A;HEXB;NOD2;CMTM6;PRKACA;CREB1;UBE2D2;CAPZA2;STK10;RPS6KA2;PSMD9;TRIM25;MAPK7;KPNB1;ITGAM;PPP2CA;CAPN1;OSTF1;UBE2D3;VAMP8;ATP7A;GCA;TRAF6;CSTB;RIPK1;PPP3CB;RNF135;BAIAP2;SHC1;PRKCSH;MEF2C
R-HSA-168256,Immune System,1.4506841990910234e-13,1.4434307780955683e-10,0.9436322252328375,0.3359775943933518,1.5705848063733345,1565,HLA-G;PI3;CCL3L3;H3C6;TUBB2A;HLA-DRB5;SIGLEC5;FCGR3B;SLPI;IFI27;LILRA5;FOS;CEBPD;HSPA6;FCGR2B;MME;PPP2R5B;CCL3;HLA-DQA2;CHI3L1;ALDOA;AIM2;PADI2;FCGR3A;CXCL1;IFI6;LILRA2;BTNL8;PTGS2;ISG15;FBXW4;KCMF1;QPCT;ADGRE3;CRISPLD2;KIF23;IFIT2;CXCL8;OASL;TNFRSF9;HP;MX1;CD14;HERC5;PROS1;CD79A;TREM1;MMP25;SYNGR1;SERPING1;KLC3;IRS2;JUNB;IGF2R;PTPRN2;IFIH1;TREML4;TXNIP;TREML2;ADAM8;CEACAM3;IL1R1;CD177;CXCR1;HPSE;TYROBP;RNF19B;HLA-A;HLA-DQB2;NEU1;ATP6V1B2;CD300LB;TMBIM1;TLR10;RILP;ASAH1;FCGR1A;HMOX1;CARD9;RNF130;DEFA3;IKBIP;RNF182;CPPED1;IFITM2;NCR3;IL1R2;CXCR2;CD180;TBK1;TLR2;CD300A;PYCARD;ERAP2;FUCA2;CDC34;RAB3D;FPR1;BST2;UBE2D1;MNDA;PTAFR;DHX58;CTSD;PTK2B;FPR2;CLEC4E;LILRB2;UBE2R2;RIGI;KLHL21;ADGRG3;IRF7;TNFSF12;IFIT3;SIGLEC8;QSOX1;ADAM17;RNF144B;RELB;GOLGA7;BTN2A1;BRI3;GAA;SQSTM1;CREG1;GSN;RNASE6;RICTOR;IFI16;SLC44A2;NAPRT;PILRA;HLA-C;NCKIPSD;RNASET2;PRCP;IL1RN;HLA-F;HECW2;SLA;CDKN1B;ICAM3;LY96;SIGLEC1;FCGR2A;RAF1;IFITM3;S100A11;UBE2M;AP1S1;UBC;ISG20;FLT3;CD22;HLA-B;KBTBD7;ATP6V0D1;TLR4;TNFSF13B;CLEC2B;IFNGR1;TLR8;C1R;CPNE1;CD79B;BCL10;TALDO1;GAB2;OAS1;CREBBP;IFI35;TNFRSF1A;KIR2DS4;LIMK1;RAB7A;TNFSF14;KIF3C;RPS6KA5;KBTBD8;EIF4E3;RAP1GAP2;CD19;MEFV;PSTPIP1;MMP8;ARSA;PELI3;VNN1;IFIT5;FGL2;OSM;N4BP1;PRDX6;SIRPA;ATP6V1F;HECTD3;FCER2;ARPC1B;LGALS3;PRKDC;PELI1;MX2;DCTN4;FCER1G;C5AR1;GHDC;BLK;SIGLEC10;S100A9;RNF34;CD46;SDCBP;UBE2L6;VASP;HLA-E;UNKL;TRIM69;CTSS;FBXL15;DYNC1LI1;UNC93B1;UBE2V2;LAMP2;TNFRSF13C;SEC24D;SERPINA1;PLCG2;OAS3;DOK3;ACP3;AGER;GNS;BIRC3;DPP7;RASGRP4;PYGL;FGR;FBXW8;SEC61A2;HLA-DOB;CDA;ANPEP;WASF1;TOLLIP;GRN;B2M;HSPA1B;RAB18;SMAD3;FBXO44;LGMN;CRCP;CD300LF;NLRC4;CCR1;VAV3;FANCE;NFKB2;IL2RG;LAT2;BCL6;RHOG;CANT1;NCF2;SLC15A4;CD300C;CCL4;RAP2C;MGAM;IRF8;PAK1;LILRA1;SLC2A3;PTEN;MOSPD2;ARPC4;PRKCD;PRR5;BTN3A1;BATF;MGRN1;PLD3;KIF18A;SLC11A1;FBXL5;TCIRG1;TOM1;CASP8;GNLY;OAS2;TNFRSF1B;PSMB9;AKT1;SARM1;NUP50;ZBP1;CLEC7A;MCL1;GLIPR1;AGPAT2;WAS;EIF2AK2;CD1D;LRG1;COMMD9;LY86;ITGB2;ITGB5;MAP2K4;NUP88;CYBA;FTH1;ARL8A;PITPNA;PPP2R5A;AZU1;RAB37;CSF1;WIPF1;CNPY3;MAPK3;CFD;HRAS;MYO9B;RAC1;ELOB;SKP1;CSF2RB;FANCA;IFNGR2;TRIM62;P2RX1;TUBA4A;ATOX1;BTN2A2;CST3;DTX4;RNF111;S100A12;PGLYRP1;HEBP2;CLEC10A;KLHL2;RAB27A;SIGLEC9;IFIT1;CASP4;OSCAR;UBE2Q1;ELANE;CD1C;POLR3G;PIK3CB;OTUD5;SIRPB1;FBXL13;CD93;TRIM3;IRAG2;RAB44;CD81;HVCN1;IRF9;TUBB6;TLR6;CSNK2B;ADGRE5;NFAM1;STXBP2;PLAUR;INPP5D;ALOX15;C5AR2;TASL;PGAM1;LYN;ZBTB16;PLD2;ADA2;CD274;IMPDH1;TYK2;PAFAH1B2;ATP6V0E1;RNF114;IL15RA;CR1;PPP3CA;CD99;ATF1;GZMM;GYG1;PECAM1;IRF5;IP6K2;POLR3B;NFKBIB;MAP3K8;DUS2;SIPA1;LPCAT1;PIN1;HK3;IQGAP1;MAP3K3;RAPGEF1;HIF1A;SOCS2;CD86;XAF1;GMFG;RNF25;STUB1;RAC2;NFKBIA;TRIM41;EP300;TGFB1;UBE2W;NKIRAS2;PLEKHO2;BST1;GALNS;ATP6V1A;RPS6KA1;RAB10;C5;AREL1;PLPP5;TUBA1A;ELOC;LGALS9;IFITM1;POLR3C;PLA2G6;STX3;HLA-DOA;NBEAL2;PSEN1;CSF1R;DNAJC3;UBE2Q2;KIF11;TIMP2;MCEMP1;LAMP1;DYNLT1;LRSAM1;FBXL16;TRAF2;CTSZ;UNC13D;GSTO1;CSF3R;HSPA1A;SPSB2;LTBR;TRIM21;TRIM32;TLR7;SYK;TRIM22;POLR2H;PTPN6;FOLR3;ANAPC13;DGAT1;F13A1;NPC2;RAB5C;RNF126;VEGFA;IRF3;TNFAIP6;MYD88;JUN;LTB;CRISP3;STOM;CD74;ARSB;CAP1;SELL;ZNRF2;ELMO1;PSMF1;OPTN;CLEC4A;AIP;POMC;HEXB;NOD2;BTLA;NPEPPS;CMTM6;PRKACA;CREB1;KEAP1;GRB10;NUP58;IL13RA1;UBE2D2;CAPZA2;CCR5;STK10;STX4;RPS6KA2;PSMD9;STAT3;TRIM25;BTBD6;MAPK7;KPNB1;ITGAM;PPP2CA;SPHK1;CAPN1;OSTF1;UBE2D3;VAMP8;ASB6;ATP7A;GCA;RNASEL;TRAF6;CSTB;RIPK1;TNFRSF8;STAT4;PTPN23;UBE2A;IFI30;ADAR;PPP3CB;LCP1;RNF135;PPP2R5C;BAIAP2;SHC1
R-HSA-6798695,Neutrophil degranulation,1.3620637270988747e-9,9.035022723089203e-7,0.7881868108002371,0.405871504466707,1.818033193059388,433,SIGLEC5;FCGR3B;SLPI;HSPA6;MME;CHI3L1;ALDOA;PADI2;CXCL1;KCMF1;QPCT;ADGRE3;CRISPLD2;HP;CD14;MMP25;SYNGR1;IGF2R;PTPRN2;ADAM8;CEACAM3;CD177;CXCR1;HPSE;TYROBP;NEU1;TMBIM1;ASAH1;CPPED1;CXCR2;TLR2;CD300A;PYCARD;FUCA2;RAB3D;FPR1;BST2;MNDA;PTAFR;CTSD;FPR2;LILRB2;ADGRG3;QSOX1;GOLGA7;BRI3;GAA;CREG1;GSN;SLC44A2;NAPRT;HLA-C;RNASET2;PRCP;FCGR2A;S100A11;HLA-B;CPNE1;RAB7A;MMP8;ARSA;VNN1;FGL2;PRDX6;SIRPA;LGALS3;FCER1G;C5AR1;GHDC;S100A9;SDCBP;CTSS;DYNC1LI1;LAMP2;SERPINA1;DOK3;ACP3;GNS;DPP7;PYGL;FGR;CDA;ANPEP;TOLLIP;GRN;B2M;HSPA1B;RAB18;RHOG;CANT1;SLC15A4;RAP2C;MGAM;SLC2A3;MOSPD2;PRKCD;SLC11A1;TCIRG1;TOM1;TNFRSF1B;GLIPR1;AGPAT2;LRG1;COMMD9;ITGB2;CYBA;FTH1;ARL8A;AZU1;RAB37;CFD;RAC1;P2RX1;CST3;S100A12;PGLYRP1;HEBP2;RAB27A;SIGLEC9;OSCAR;ELANE;SIRPB1;CD93;IRAG2;RAB44;HVCN1;CSNK2B;ADGRE5;NFAM1;PLAUR;PGAM1;ADA2;IMPDH1;PAFAH1B2;CR1;GYG1;PECAM1;LPCAT1;HK3;IQGAP1;GMFG;PLEKHO2;BST1;GALNS;RAB10;NBEAL2;PSEN1;DNAJC3;TIMP2;MCEMP1;LAMP1;DYNLT1;CTSZ;UNC13D;HSPA1A;PTPN6;FOLR3;DGAT1;NPC2;RAB5C;TNFAIP6;CRISP3;STOM;ARSB;CAP1;SELL;HEXB;CMTM6;STK10;KPNB1;ITGAM;CAPN1;OSTF1;VAMP8;GCA;CSTB
R-HSA-909733,Interferon alpha/beta signaling,3.16690685668282e-7,1.575536161199703e-4,0.674962860011025,0.6146121422952735,2.1946367896129586,61,HLA-G;IFI27;IFI6;ISG15;IFIT2;OASL;MX1;HLA-A;IFITM2;BST2;IRF7;IFIT3;HLA-C;HLA-F;IFITM3;UBC;ISG20;HLA-B;OAS1;IFI35;IFIT5;MX2;HLA-E;OAS3;IRF8;OAS2;EIF2AK2;IFIT1;IRF9;TYK2;IRF5;IP6K2;XAF1
R-HSA-1280215,Cytokine Signaling in Immune system,1.1724506951852364e-5,0.004666353766837241,0.5933254763964051,0.3303628398660938,1.5042471500586787,593,HLA-G;CCL3L3;H3C6;TUBB2A;HLA-DRB5;IFI27;FOS;CEBPD;CCL3;HLA-DQA2;CXCL1;IFI6;PTGS2;ISG15;IFIT2;CXCL8;OASL;TNFRSF9;MX1;HERC5;IRS2;JUNB;IL1R1;HLA-A;HLA-DQB2;FCGR1A;HMOX1;IKBIP;IFITM2;IL1R2;TBK1;FPR1;BST2;UBE2D1;PTAFR;PTK2B;RIGI;IRF7;TNFSF12;IFIT3;ADAM17;RELB;SQSTM1;HLA-C;IL1RN;HLA-F;SLA;CDKN1B;RAF1;IFITM3;UBE2M;UBC;ISG20;FLT3;HLA-B;TNFSF13B;IFNGR1;TALDO1;GAB2;OAS1;IFI35;TNFRSF1A;TNFSF14;RPS6KA5;EIF4E3;PELI3;IFIT5;OSM;N4BP1;FCER2;PELI1;MX2;UBE2L6;HLA-E;TNFRSF13C;PLCG2;OAS3;AGER;BIRC3;TOLLIP;B2M;HSPA1B;SMAD3;CCR1;FANCE;NFKB2;IL2RG;BCL6;CCL4;IRF8;PRKCD;BATF;CASP8;OAS2;TNFRSF1B;PSMB9;AKT1;NUP50;MCL1;EIF2AK2;ITGB2;MAP2K4;NUP88;PITPNA;PPP2R5A;CSF1;MAPK3;HRAS;ELOB;SKP1;CSF2RB;FANCA;IFNGR2;TRIM62;TUBA4A;S100A12;IFIT1;PIK3CB;TRIM3;IRF9;TUBB6;STXBP2;INPP5D;ALOX15;LYN;TYK2;IL15RA;ATF1;IRF5;IP6K2;NFKBIB;MAP3K8;DUS2;PIN1;MAP3K3;RAPGEF1;HIF1A;SOCS2;CD86;XAF1;NFKBIA;TGFB1;NKIRAS2;RPS6KA1;TUBA1A;ELOC;LGALS9;IFITM1;STX3;CSF1R;DNAJC3;TRAF2;GSTO1;CSF3R;HSPA1A;LTBR;TRIM21;SYK;TRIM22;PTPN6;F13A1;VEGFA;IRF3;MYD88;JUN;LTB;PSMF1;AIP;POMC;NOD2;PRKACA;CREB1;GRB10;NUP58;IL13RA1;UBE2D2;CCR5;STX4;RPS6KA2;PSMD9;STAT3;TRIM25;MAPK7;KPNB1;ITGAM;PPP2CA;SPHK1;UBE2D3;RNASEL;TRAF6;TNFRSF8;STAT4;PTPN23;IFI30;ADAR;LCP1;SHC1;MEF2C;SOCS3;CAPZA1;IL12RB2;UBA3;IL27RA;MAPK14;MT2A;GRB2;UBA52;CAMK2G;NUP98;NKIRAS1;VIM;YWHAZ;CCL5;CBL;TIMP1;IFNAR1;CENPX;PTPN18;FN1;SOS1;PTPN9;MSN;JAK1;MAPKAPK3;MAPKAPK2;IL6R;MAP3K14;RNF7;IL1RAP;STAT5B;HMGB1
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,2.947966388251232e-5,0.00956019932256915,0.5756102610711286,0.48705465751554916,1.867084422784056,94,HLA-G;SIGLEC5;LILRA5;FCGR2B;FCGR3A;LILRA2;TREM1;TREML4;TREML2;TYROBP;HLA-A;CD300LB;FCGR1A;NCR3;CD300A;LILRB2;SIGLEC8;PILRA;HLA-C;HLA-F;ICAM3;SIGLEC1;CD22;HLA-B;CLEC2B;CD19;SIGLEC10;HLA-E;B2M;CD300LF;CD300C;LILRA1;CD1D;ITGB2;SIGLEC9;OSCAR;CD1C;CD81
R-HSA-1236977,Endosomal/Vacuolar pathway,3.362884183818294e-5,0.00956019932256915,0.557332238758646,0.8581177112796498,2.0202741907970423,10,HLA-G;HLA-A;HLA-C;HLA-F;HLA-B;HLA-E;CTSS;B2M
R-HSA-3214815,HDACs deacetylate histones,1.7280914242069918e-4,0.04003762828531451,0.5188480777437918,0.5808894141715866,1.9623262113278273,45,H3C6;H2BC5;H2BC12;H4C8;H2BC18;BRMS1;H2BC4;RCOR1;H2BC21;H2AC6;SAP30;GATAD2A;HDAC10;PHF21A;H2BC8;HDAC3;TBL1X
mod01,mod01,1.8107470078785454e-4,0.04003762828531451,0.5188480777437918,0.589539685910178,1.9346766776184137,39,FCRL2;DERL3;CD79A;CD24;TCL1A;POU2AF1;TSPAN13;CD22;CD79B;CD19;SPIB;FCHSD2;BANK1;BLK;MZB1;GNG7;HLA-DOB;TCF4;FCRLA;VPREB3;PMEPA1
R-HSA-3214842,HDMs demethylate histones,2.5954532006811684e-4,0.05164951869355525,0.49849310876659025,0.6644615533758517,1.9840496287456046,25,KDM5D;UTY;H3C6;H4C8;KDM6B;KDM4B
