pathway_id	description
R-HSA-3371568	Attenuation phase
R-HSA-2559583	Cellular Senescence
R-HSA-2262752	Cellular responses to stress
R-HSA-71403	Citric acid cycle (TCA cycle)
R-HSA-388841	Costimulation by the CD28 family
R-HSA-5663202	Diseases of signal transduction
R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity
R-HSA-9018519	Estrogen-dependent gene expression
R-HSA-9020702	Interleukin-1 signaling
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling
R-HSA-71291	Metabolism of amino acids and derivatives
R-HSA-196854	Metabolism of vitamins and cofactors
R-HSA-168638	NOD1/2 Signaling Pathway
R-HSA-199418	Negative regulation of the PI3K/AKT network
R-HSA-6798695	Neutrophil degranulation
R-HSA-449836	Other interleukin signaling
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
R-HSA-1257604	PIP3 activates AKT signaling
R-HSA-76002	Platelet activation, signaling and aggregation
R-HSA-5673001	RAF/MAP kinase cascade
R-HSA-195258	RHO GTPase Effectors
R-HSA-975634	Retinoid metabolism and transport
R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins
R-HSA-4090294	SUMOylation of intracellular receptors
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)
R-HSA-9006931	Signaling by Nuclear Receptors
R-HSA-1483166	Synthesis of PA
R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade
R-HSA-2151201	Transcriptional activation of mitochondrial biogenesis
R-HSA-9616222	Transcriptional regulation of granulopoiesis
R-HSA-4420097	VEGFA-VEGFR2 Pathway
