pathway_id	description	pvalue	bonferroni	n_cd_genes	n_bg_genes	gene_ratio	level_1	level_2	cd_genes	bg_genes
R-HSA-909733	Interferon alpha/beta signaling	6.7539999999999985e-93	6.760999999999999e-90	23	68	0.34	Immune System	Cytokine Signaling in Immune system	EGR1;IFI6;IRF8;IFIT2;IFIT1;IFIT3;IFNAR2;IFNB1;IRF1;IRF4;IRF5;IRF6;IRF3;MX1;OAS3;XAF1;PTPN1;PTPN6;PTPN11;STAT1;STAT2;BST2;ISG15	ADAR;IRF9;IFITM3;IFITM2;USP18;EGR1;IFI6;SAMHD1;GBP2;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;IRF8;IFI27;IFI35;IFIT2;IFIT1;IFIT3;IFNA1;IFNA2;IFNA4;IFNA5;IFNA6;IFNA7;IFNA8;IFNA10;IFNA13;IFNA14;IFNA16;IFNA17;IFNA21;IFNAR1;IFNAR2;IFNB1;IRF1;IRF2;IRF3;IRF4;IRF5;IRF6;IRF7;ISG20;JAK1;MX1;MX2;OAS1;OAS2;OAS3;IP6K2;XAF1;PTPN1;PTPN6;PTPN11;RNASEL;ABCE1;STAT1;STAT2;BST2;TYK2;IFITM1;OASL;SOCS1;SOCS3;RSAD2;ISG15
R-HSA-71291	Metabolism of amino acids and derivatives	1.7639999999999998e-67	1.766e-64	35	215	0.16	Metabolism	Metabolism of amino acids and derivatives	AASS;CTH;DAO;DBH;DBT;DLAT;DLD;DLST;FAH;ALDH9A1;GATM;GLUD1;GLUD2;GOT2;GPT;PSAT1;HDC;MPST;MTAP;OAT;OGDH;PDHA1;PDHB;PYCR1;BCKDHA;BCKDHB;SAT1;AGXT2;SLC6A12;SMS;SRM;TAT;PDHX;SLC7A5;GPT2	NAALAD2;TSTD1;AASS;SLC25A13;SLC25A15;HRSP12;RIDA;CBSL;CBS;BCKDK;CDO1;CGA;FTCD;SERINC3;SDS;LIAS;HIBADH;HOGA1;AZIN2;SDSL;CKB;CKM;CKMT1B;CKMT2;SLC36A4;TPH2;HYKK;UROC1;CPS1;CARNMT1;CRYM;AMDHD1;SLC25A10;CTH;AANAT;PPM1K;DAO;DBH;NAGS;DBT;DCT;DDC;IDO2;NQO1;DIO1;DIO2;DIO3;DLAT;DLD;DLST;SARDH;AGXT;AHCY;PAOX;FAH;FOLH1;FOLH1B;ALDH9A1;SEPHS2;SLC44A1;FOLH1;GCAT;ETHE1;HAAO;BHMT2;SERINC5;TXN2;GAMT;IL4I1;AMD1;PHGDH;HIBCH;GATM;GCDH;GCSH;ACAD8;GLS2;GNMT;GLDC;GLS;GLUD1;GLUD2;AMT;GLUL;GOT1;GOT2;RIMKLA;GPT;GSTZ1;PYCR2;DMGDH;PSAT1;HSD17B10;HAL;HDC;HGD;HNMT;HPD;GADL1;NAT8L;SERINC2;ACADSB;IDO1;IVD;ASPG;ACAT1;ARG1;ARG2;LIPT2;IYD;MAT1A;ALDH6A1;ASL;MPST;ASMT;ASNS;ASPA;ASS1;MTAP;MTR;MTRR;NDUFAB1;OAT;OAZ1;OAZ2;OCA2;ODC1;OGDH;OTC;ALDH7A1;DUOX2;PAH;PCBD1;SEPSECS;SLC45A2;AADAT;PIPOX;SCLY;AZIN1;PDHA1;LIPT1;PDHA2;PDHB;OAZ3;DUOX1;PNMT;HAO1;SMOX;CKMT1A;AUH;TMLHE;ADI1;CHDH;DHTKD1;PRODH;MCCC1;PSPH;NMRAL1;RIMKLB;SERINC1;CARNS1;PYCR1;ALDH18A1;SQRDL;SQOR;ENOPH1;PRODH2;BCAT1;QDPR;BCAT2;BCKDHA;BCKDHB;SERINC4;SARS;SAT1;BHMT;SRR;MCCC2;SHMT1;AGXT2;SLC3A2;PYCRL;PYCR3;SLC5A5;SLC6A7;SLC6A8;SLC6A11;SLC6A12;SMS;SRM;SUOX;TAT;TDO2;TH;TPH1;TPO;TSHB;TST;TXNRD1;TYR;TYRP1;AGMAT;ASRGL1;PDHX;SLC7A5;SLC25A2;BBOX1;MRI1;GPT2;ADO;PHYKPL;DDO;KMO;SLC25A12;ALDH4A1;CBS;CCBL1;KYAT1;KYNU;SLC25A21;GRHPR
R-HSA-2262752	Cellular responses to stress	7.512e-35	7.52e-32	57	375	0.15	Cellular responses to stimuli	Cellular responses to stress	HDAC6;CDK2;CEBPB;STIP1;EGLN2;MAPK14;DCTN1;E2F1;CREBBP;EP300;EPAS1;ETS1;ETS2;KDM6B;SIRT1;FOS;POT1;TINF2;NR3C1;GSK3B;HIST1H1A;HIST1H2BD;HIF1A;HSPA1A;HSPA1B;HSPA4;HSPA8;HSP90AA1;HSP90AB1;IFNB1;AR;JUN;NCF4;NFKB1;P4HB;TERF2IP;HIF1AN;BAG1;RPTOR;RB1;RELA;SP1;STAT3;PRDX2;RBBP4;RBBP7;TXN;TERF1;VCP;VEGFA;HIST2H2BE;TUBA1A;AJUBA;CCNE2;TP53;YWHAE;NUP93	HDAC6;DNAJB6;COMMD3-BMI1;RAD50;ACTR1A;CDK2;CDK4;CDK6;CDKN1A;CDKN1B;H2BFS;CDKN2A;DNAJA2;CDKN2B;CDKN2C;CDKN2D;CITED2;TUBA1B;TUBB3;TUBB4A;TUBB4B;ANAPC10;CEBPB;KAT5;DCTN2;TXNRD2;DCTN6;PTGES3;NUP50;HSPH1;EHMT2;PRDX3;STIP1;UBE2C;NUPL2;EGLN2;EGLN3;DCTN3;TUBA3E;TUBA3D;HSPA12B;ANAPC16;HIST4H4;WTIP;HIST2H3C;HIST3H2BB;NUP35;CREBBP;DYNLL2;CRYAB;MAPK14;CYBA;CYBB;DCTN1;DYNC1H1;DYNC1I1;DYNC1I2;DYNC1LI2;E2F1;E2F2;E2F3;PHC1;PHC2;EEF1A1;AGO3;AGO4;EP300;EPAS1;EPO;ERF;ETS1;ETS2;EZH2;HSPA4L;FKBP4;FKBP5;SCMH1;TNIK;TNRC6B;KDM6B;NUP205;NUP210;NUP160;SIRT1;CBX6;NUP188;SUZ12;CABIN1;FOS;NUP62;CDC26;MTOR;HIST1H2BA;GPX6;PRDX5;TXN2;ASF1A;ANAPC15;POT1;HSPA12A;HIGD1A;TINF2;HSPB8;AGO1;DNAJC2;TNRC6A;GPX1;GPX2;GPX3;GPX5;GPX7;NR3C1;GSK3B;GSR;GSTP1;UBN1;ANAPC2;ANAPC4;ERO1A;H1F0;HIST1H1C;HIST1H1D;HIST1H1E;HIST1H1B;HIST1H2AE;HIST1H2AD;H2AFX;H2AFZ;HIST1H2BD;HIST1H2BB;H3F3A;H3F3B;HIST1H1A;HIF1A;HMGA1;NUDT2;HSBP1;HSF1;DNAJA1;HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA4;HSPA5;HSPA6;HSPA8;HSPA9;HSP90AA1;HSP90AB1;DNAJB1;HIST2H3A;ID1;IFNB1;TUBB8;TUBB2B;NUP43;IGFBP7;IL1A;IL6;CXCL8;AR;JUN;LMNB1;ARNT;MDM2;MDM4;MAP3K5;NR3C2;MOV10;MRE11A;MRE11;NBN;NCF2;NCF4;ATM;H2AFB1;NFKB1;NUP88;NUP98;GPX8;P4HB;MINK1;NOX4;PRDX1;DYNC1LI1;DCTN4;HSPA14;FZR1;ANAPC5;ANAPC7;C11orf73;HIKESHI;ANAPC11;TUBA8;PGR;NUP54;CYCS;TERF2IP;ATR;EGLN1;HIST2H4B;DNAJA4;HIF1AN;NDC1;NUP133;H2AFJ;ACTR10;MAPK7;MAPK8;MAPK11;MAPK9;MAPK10;MAP2K3;MAP2K6;MAP2K7;NUP107;BAG1;CBX8;RPTOR;EP400;TNRC6C;CCAR2;RANBP2;RB1;RBBP4;RBBP7;RELA;RING1;RNF2;RPA1;RPA2;RPA3;RPS6KA1;RPS6KA2;RPS6KA3;SEC13;MAP2K4;MLST8;HIF3A;ANAPC1;BMI1;ACD;NCF1;HIST2H3D;SOD1;SOD2;SOD3;SP1;ST13;STAT3;HSPA13;TCEB1;ELOC;TCEB2;ELOB;PRDX2;TERF1;TERF2;TFDP1;TFDP2;TP53;TPR;HIST2H2AA4;DNAJC7;TUBA4A;TUBA3C;TUBB2A;HIRA;TXN;TXNRD1;UBE2D1;UBE2D2;UBE2D3;UBE2E1;VCP;VEGFA;VHL;YWHAE;CA9;TUBA1A;MAPKAPK3;NUP37;NOX5;EHMT1;TUBAL3;NUP85;PHC3;NUP214;AAAS;HMGA2;TUBB1;CAMK2A;CAMK2B;CAMK2D;CAMK2G;SEH1L;CAPZA1;HIST3H3;HIST1H4I;CAPZA2;CAPZB;HIST1H2AJ;HIST1H2AC;HIST1H2AB;HIST2H2AA3;HIST2H2AC;HIST1H2BG;HIST1H2BL;HIST1H2BN;HIST1H2BM;HIST1H2BF;HIST1H2BE;HIST1H2BH;HIST1H2BI;HIST1H2BC;HIST1H2BO;HIST2H2BE;HIST1H3A;HIST1H3D;HIST1H3C;HIST1H3E;HIST1H3I;HIST1H3G;HIST1H3J;HIST1H3H;HIST1H3B;HIST1H4A;HIST1H4D;HIST1H4F;HIST1H4K;HIST1H4J;HIST1H4C;HIST1H4H;HIST1H4B;HIST1H4E;HIST1H4L;HIST2H4A;AKT1S1;DCTN5;CUL2;TUBB6;CAT;CBX2;TUBA1C;RAE1;AJUBA;HIST1H2BK;CBX4;MAPKAPK5;DYNLL1;CDC23;EED;CDC16;CCNA2;CCNA1;HIST1H3F;HIST1H2BJ;CCNE1;LIMD1;CCNE2;RPS19BP1;MAPKAPK2;CAPZA3;H2AFV;MAP4K4;BAG5;BAG4;BAG3;BAG2;PRDX6;NUP155;NUP93;NUP58;POM121;CDC27;NUP153;CCS;RBX1
R-HSA-9006931	Signaling by Nuclear Receptors	2.053e-31	2.055e-28	46	255	0.18	Signal Transduction	Signaling by Nuclear Receptors	CDK9;CREB1;ATF2;CREBBP;RDH10;DLAT;DLD;EGFR;SDR16C5;EP300;AKT1;ESR1;ALDH1A1;ALDH1A3;KDM4B;FOS;HIST1H2BD;HDAC1;HSP90AB1;IGF1R;JUN;MYB;MYC;HSP90AA1;RDH11;PDHA1;PDHB;PIK3R2;POLR2A;POLR2F;POLR2J;POU2F1;PTK2;RAD21;RARA;RARB;SHC1;SP1;TBP;YY1;PDHX;SMC1A;HIST2H2BE;RUNX1;ALDH1A2;DHRS3	AKT3;DHRS9;CDK9;CDKN1B;H2BFS;STAG1;CARM1;NCOA2;KAT5;GNB5;PTGES3;STAG2;DHRS4;CHD1;RDH13;HIST4H4;ADH1A;ADH1C;HIST2H3C;ADH4;UHMK1;HIST3H2BB;CPT1A;CPT1B;CRABP1;CRABP2;CREB1;ATF2;CREBBP;CTSD;RDH10;CYP26A1;DDX5;DLAT;DLD;HBEGF;S1PR3;AGO3;AGO4;EGF;EGFR;SDR16C5;ELK1;KCTD6;EP300;ERBB4;EREG;AKT1;AKT2;ESR1;ESR2;ALDH1A1;FABP5;ALDH1A3;FKBP4;FKBP5;KDM1A;KDM4B;FOXO3;TNRC6B;KANK1;FOS;FOSB;NR5A2;EPGN;HIST1H2BA;GATA3;AGO1;AGO2;TNRC6A;GNAI1;GNAI2;GNAI3;GNB1;GNB2;GNB3;GNG3;GNG4;GNG5;GNG7;GNG10;GNG11;GNGT1;GNGT2;GTF2A1;GTF2A2;GTF2F1;GTF2F2;HIST1H2AE;HIST1H2AD;H2AFX;H2AFZ;HIST1H2BD;HIST1H2BB;H3F3A;H3F3B;HDAC1;FOXA1;PRMT1;HSPB1;HSP90AA1;HSP90AB1;HIST2H3A;ZDHHC21;CYP26C1;GNAT3;IGF1R;JUN;JUND;AREG;KPNA2;MMP2;MMP3;MMP7;MMP9;MOV10;CITED1;MYB;MYC;H2AFB1;NOS3;RDH11;CXXC5;PDHA1;PDHA2;PDHB;PDK1;PDK2;PDK3;PDK4;PDPK1;GNG13;PGR;PIK3R2;POLR2A;POLR2B;POLR2C;POLR2D;GNG2;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;POU2F1;PPARD;MED1;PPID;PPP5C;HIST2H4B;ZDHHC7;H2AFJ;PRKCZ;GNG12;CYP26B1;PTK2;RDH14;GPAM;TNRC6C;RAD21;RARA;RARB;RARG;GNB4;CCND1;RDH5;BCL2;RXRA;RXRB;RXRG;CXCL12;ALDH8A1;SHC1;HIST2H3D;SP1;SRF;STRN;BTC;TBP;TFF1;TFF3;TGFA;TLE3;HIST2H2AA4;USF1;USF2;XPO1;YY1;ZNF217;PDHX;NCOA3;NRIP1;SMC1A;HIST1H4I;AXIN1;HIST1H2AJ;HIST1H2AC;HIST1H2AB;HIST2H2AA3;HIST2H2AC;HIST1H2BG;HIST1H2BL;HIST1H2BN;HIST1H2BM;HIST1H2BF;HIST1H2BE;HIST1H2BH;HIST1H2BI;HIST1H2BC;HIST1H2BO;HIST2H2BE;HIST1H3A;HIST1H3D;HIST1H3C;HIST1H3E;HIST1H3I;HIST1H3G;HIST1H3J;HIST1H3H;HIST1H3B;HIST1H4A;HIST1H4D;HIST1H4F;HIST1H4K;HIST1H4J;HIST1H4C;HIST1H4H;HIST1H4B;HIST1H4E;HIST1H4L;HIST2H4A;;PIK3R3;HIST1H2BK;CAV1;CAV2;RDH16;RUNX1;AKR1C3;;NCOA1;CBFB;KAT2B;ALDH1A2;SPHK1;HIST1H3F;HIST1H2BJ;CCNT1;SMC3;EBAG9;DHRS3;GNG8;H2AFV;GREB1
R-HSA-71403	Citric acid cycle (TCA cycle)	2.311e-23	2.3130000000000003e-20	8	22	0.36	Metabolism	The citric acid (TCA) cycle and respiratory electron transport	DLD;DLST;IDH2;IDH3A;IDH3B;IDH3G;OGDH;SDHA	ME3;CS;DLD;DLST;FH;NNT;IDH2;IDH3A;IDH3B;IDH3G;MDH2;ME2;OGDH;ACO2;SDHA;SDHB;SDHC;SDHD;FAHD1;SUCLG2;SUCLG1;SUCLA2
R-HSA-4420097	VEGFA-VEGFR2 Pathway	4.254e-23	4.258e-20	21	86	0.24	Signal Transduction	Signaling by Receptor Tyrosine Kinases	CRK;MAPK14;CTNNB1;AKT1;PTK2B;HSP90AA1;FYN;ITGB3;NCF4;NCK1;PIK3R2;PLCG1;PRKACA;MAPK13;PTK2;PXN;ACTB;VAV1;VEGFA;NCK2;CDC42	AKT3;ABI1;CDH5;ABI2;WASF2;VAV3;BAIAP2;NCKAP1;WASF3;THEM4;CRK;MAPK14;CTNNA1;CTNNB1;CTNND1;CYBA;CYBB;DOCK1;AKT1;AKT2;PTK2B;CYFIP1;MTOR;RICTOR;FYN;SHC2;CYFIP2;NCKAP1L;HSPB1;HSP90AA1;ITGAV;ITGB3;JUP;KDR;RHOA;NCF2;NCF4;NCK1;NOS3;PAK1;PAK2;PAK3;PDPK1;PIK3CB;PIK3R2;PLCG1;PRR5;PRKACA;PRKACB;PRKACG;PRKCA;PRKCB;AXL;PRKCD;BRK1;PRKCZ;MAPK11;MAPK13;PTK2;TRIB3;PXN;RAC1;RASA1;ACTB;ROCK1;MAPK12;ELMO2;MLST8;SHB;NCF1;ACTG1;VAV1;VAV2;VEGFA;MAPKAPK3;MAPKAP1;NCK2;CAV1;SPHK1;WASF1;SH2D2A;MAPKAPK2;ROCK2;BCAR1;ELMO1;CDC42
R-HSA-975634	Retinoid metabolism and transport	2.034e-22	2.036e-19	10	41	0.24	Sensory Perception	Visual phototransduction	APOE;LRP1;RDH11;BCO1;PNLIP;APOM;RBP1;RBP2;RBP4;TTR	GPC6;AKR1C4;CLPS;PLB1;AKR1C1;GPC2;GPC4;GPC5;LRP10;GPC3;GPC1;LRP12;HSPG2;APOA1;APOA2;APOB;GPIHBP1;APOC4-APOC2;APOC2;APOC3;APOE;AGRN;LPL;LRP1;LRP2;RDH11;BCO1;PNLIP;APOM;AKR1B10;RBP1;RBP2;RBP4;SDC1;SDC2;SDC4;TTR;LRP8;BCO2;AKR1C3;;LRAT;SDC3
R-HSA-5673001	RAF/MAP kinase cascade	4.869e-21	4.874e-18	23	185	0.12	Signal Transduction	MAPK family signaling cascades	CSF2;CSF2RA;CSF2RB;EGFR;FYN;RASGRP3;IL2;ITGB3;PDGFB;PDGFRB;PHB;PTK2;RAF1;ACTB;SHC1;SPTA1;SPTBN1;TLN1;VCL;YWHAB;KBTBD7;CUL3;IRS2	RANBP9;RASGRP1;RASA4;CNKSR1;NRG3;FRS3;FRS2;DUSP10;RASGRP4;CSF2;CSF2RA;CSF2RB;CSK;NRG4;PAQR3;KLB;DAB2IP;SPRED1;DLG1;DLG2;DLG3;DLG4;HBEGF;DUSP1;DUSP2;DUSP4;DUSP5;DUSP6;DUSP7;DUSP8;DUSP9;EGF;EGFR;SPRED2;ERBB2;ERBB3;ERBB4;EREG;RASGEF1A;FGA;FGB;FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;FGFR1;FGFR3;FGFR2;FGFR4;FGG;RASA3;CNKSR2;FLT3;FLT3LG;FN1;FYN;EPGN;SHC2;RASGRP3;FGF20;GDNF;GFRA1;GFRA2;GFRA3;FGF22;LAT;KSR2;ANGPT1;LAMTOR2;GRIN1;GRIN2B;GRIN2D;HGF;NRG1;IL2;IL2RA;IL2RB;IL2RG;IL3;IL3RA;IL5;IL5RA;IRS1;ITGA2B;ARAF;ITGB3;JAK1;JAK2;JAK3;AREG;KIT;SPRED3;ARRB1;ARRB2;MARK3;MET;KITLG;MAP3K11;NCAM1;NEFL;NF1;NRTN;PEBP1;SPTBN5;PDGFA;PDGFB;PDGFRA;PDGFRB;PHB;SHC3;APBB1IP;IL17RD;PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E;PPP5C;MAP2K1;MAP2K2;PSPN;PTK2;LRRC7;SPTBN4;PTPRA;RAF1;RAP1A;RAP1B;RASA1;RASA2;RASGRF1;RASGRF2;RET;ACTB;GFRA4;SHC1;RASAL3;SPTA1;SPTAN1;SPTB;SPTBN1;SPTBN2;BRAF;BTC;TEK;TGFA;TLN1;ACTG1;VCL;VWF;YWHAB;FGF23;DUSP16;CAMK2A;CAMK2B;CAMK2D;CAMK2G;BRAP;KBTBD7;WDR83;RASAL1;CUL3;LAMTOR3;IRS2;PEA15;ACTN2;FGF18;FGF17;FGF16;IQGAP1;SYNGAP1;KSR1;ARTN;KL;RASAL2;NRG2;RAPGEF2;FGF19;RBX1
R-HSA-5362517	Signaling by Retinoic Acid	8.145000000000001e-20	8.153e-17	14	43	0.33	Signal Transduction	Signaling by Nuclear Receptors	RDH10;DLAT;DLD;SDR16C5;ALDH1A1;ALDH1A3;RDH11;PDHA1;PDHB;RARA;RARB;PDHX;ALDH1A2;DHRS3	DHRS9;DHRS4;RDH13;ADH1A;ADH1C;ADH4;CPT1A;CPT1B;CRABP1;CRABP2;RDH10;CYP26A1;DLAT;DLD;SDR16C5;ALDH1A1;FABP5;ALDH1A3;CYP26C1;RDH11;PDHA1;PDHA2;PDHB;PDK1;PDK2;PDK3;PDK4;PPARD;CYP26B1;RDH14;RARA;RARB;RARG;RDH5;RXRA;RXRB;RXRG;ALDH8A1;PDHX;RDH16;AKR1C3;;ALDH1A2;DHRS3
R-HSA-389661	Glyoxylate metabolism and glycine degradation	5.692e-19	5.698e-16	13	30	0.43	Metabolism	Metabolism of amino acids and derivatives	DAO;DBT;DLAT;DLD;DLST;GOT2;OGDH;PDHA1;PDHB;BCKDHA;BCKDHB;AGXT2;PDHX	LIAS;HOGA1;DAO;DBT;DLAT;DLD;DLST;AGXT;GCSH;GNMT;GLDC;AMT;GOT2;LIPT2;NDUFAB1;OGDH;PDHA1;LIPT1;PDHA2;PDHB;HAO1;DHTKD1;PRODH2;BCKDHA;BCKDHB;AGXT2;PDHX;DDO;ALDH4A1;GRHPR
